-1,0,3,59,29,41,14,5,1,26,18,5,1,28,19,4,3,2,57,39,43,20,11,2,38,16,10,5,23,17,6,6,6
-1,1,3,62,77,38,35,18,4,60,28,13,1,27,19,7,4,6,67,85,33,31,12,3,57,32,15,2,46,39,6,6,7
1,3,0,72,44,28,10,17,3,41,18,8,5,26,17,6,6,6,70,34,30,14,4,0,24,13,1,0,19,12,2,4,3
1,3,0,77,40,23,12,6,0,25,11,14,5,14,11,6,6,6,79,35,21,8,1,4,16,27,0,0,22,13,2,2,4
-1,0,3,68,61,32,15,7,2,32,29,2,0,29,20,4,5,5,67,53,33,17,9,3,40,26,21,3,44,30,6,7,7
-1,0,3,59,41,41,27,7,6,22,28,6,1,11,6,3,2,6,70,56,30,11,25,3,53,30,12,4,33,26,6,6,7
1,3,1,63,56,37,21,21,3,56,32,16,4,21,15,6,6,3,73,59,27,14,7,8,33,28,9,2,11,10,3,4,6
-1,0,3,61,47,39,21,3,1,28,16,4,0,33,24,3,4,6,71,55,29,16,15,2,40,26,10,2,38,27,6,6,7
-1,0,3,61,31,39,16,4,5,20,18,1,1,14,9,3,4,4,70,45,30,16,16,2,41,19,6,4,11,8,6,6,6
1,3,0,67,56,33,21,22,6,61,29,8,3,47,35,7,6,6,54,40,46,22,4,2,22,15,6,0,23,15,6,4,2
-1,1,3,64,66,36,18,13,2,55,40,3,1,22,15,5,4,7,67,64,33,23,16,0,52,21,16,5,50,32,7,6,6
1,3,0,78,46,22,9,6,2,19,20,14,6,9,7,6,6,6,58,33,42,17,4,12,17,44,1,1,21,14,4,2,3
-1,1,3,69,60,31,14,3,2,33,33,7,2,34,25,4,7,4,63,65,37,26,12,6,60,27,12,6,61,44,6,6,6
1,3,1,63,58,37,21,20,7,64,29,11,6,25,18,6,6,6,63,48,37,24,7,1,23,34,2,1,27,14,7,1,4
-1,0,3,66,48,34,21,5,5,42,30,11,2,49,29,6,4,5,65,59,35,20,20,6,55,36,8,4,26,17,7,6,7
1,3,0,68,54,32,15,18,2,47,13,6,3,48,32,7,6,6,71,46,29,19,2,3,40,10,1,0,36,26,6,4,3
-1,0,3,85,26,15,3,3,1,14,13,0,0,22,8,3,2,0,70,35,30,14,7,0,32,6,8,6,25,21,6,6,6
-1,0,3,54,27,46,17,1,3,17,22,2,0,21,11,4,0,4,62,38,38,20,7,2,29,15,8,5,41,29,6,6,6
1,3,2,68,102,32,27,22,10,55,44,19,4,34,22,6,4,7,59,81,41,39,20,13,95,74,17,3,59,42,3,6,6
-1,1,3,66,52,34,21,3,2,49,33,12,4,37,24,7,5,3,69,62,31,22,8,3,45,29,15,8,82,50,6,7,6
-1,0,3,71,39,29,10,4,3,17,12,4,0,11,9,2,2,4,68,40,32,17,11,4,39,17,21,5,17,11,6,6,6
1,3,0,66,37,34,17,8,1,35,19,12,5,43,33,6,6,6,60,34,40,12,12,7,29,30,2,0,21,10,2,2,4
-1,1,3,53,43,47,22,6,3,29,36,12,4,31,17,1,6,4,47,42,53,26,6,9,29,47,14,8,34,20,6,4,6
1,3,0,55,43,45,29,11,4,36,14,10,2,21,18,6,7,7,52,51,48,27,11,11,34,36,0,0,26,14,4,6,5
1,3,0,57,37,43,26,5,1,32,11,15,6,31,20,6,7,6,60,41,40,20,12,2,44,37,10,2,21,13,4,5,3
1,3,0,75,47,25,12,9,2,46,21,7,4,41,29,6,6,6,67,32,33,10,4,4,23,13,3,0,13,9,3,3,3
-1,0,3,60,32,40,12,1,3,15,20,0,0,15,11,1,2,3,63,31,37,17,6,0,34,14,13,6,31,23,6,6,6
1,3,0,75,55,25,19,22,1,40,20,4,2,24,16,6,7,7,65,47,35,15,4,4,27,20,0,0,18,13,1,6,6
-1,1,3,59,43,41,25,2,5,26,21,2,2,25,14,4,6,3,63,51,37,18,26,3,64,21,13,6,33,21,6,4,6
1,3,0,68,50,32,13,5,4,37,30,15,7,24,18,6,7,7,57,41,43,22,1,6,28,42,9,5,30,16,3,6,5
1,3,0,60,34,40,16,11,6,43,18,11,7,37,28,6,7,6,69,28,31,9,5,2,20,21,3,2,9,4,1,5,2
-1,0,3,67,52,33,21,6,3,32,24,7,2,36,28,6,6,4,60,53,40,28,13,2,53,24,11,3,46,32,7,7,6
-1,0,3,58,30,42,8,7,4,29,23,6,1,16,9,2,5,1,73,45,27,12,10,1,34,10,8,6,11,9,6,7,6
-1,2,3,65,58,35,26,15,3,50,33,19,4,30,22,4,2,6,63,63,37,29,18,10,61,53,8,5,46,34,6,6,4
1,3,1,68,67,32,20,18,5,68,33,10,6,44,31,6,6,6,66,60,34,17,10,5,38,36,11,2,30,20,7,4,4
